,name,type,label,exclam.,det.,conj.,number,pron.,prep.,adv.,adj.,v.,n.
10073,conceal ,v.,C1,0,0,0,0,0,0,0,0,1,0
10074,concede ,v.,C1,0,0,0,0,0,0,0,0,1,0
10075,conceive ,v.,C1,0,0,0,0,0,0,0,0,1,0
10076,conception ,n.,C1,0,0,0,0,0,0,0,0,0,1
10077,concession ,n.,C1,0,0,0,0,0,0,0,0,0,1
10078,condemn ,v.,C1,0,0,0,0,0,0,0,0,1,0
10079,confer ,v.,C1,0,0,0,0,0,0,0,0,1,0
10080,confession ,n.,C1,0,0,0,0,0,0,0,0,0,1
10081,configuration ,n.,C1,0,0,0,0,0,0,0,0,0,1
10082,confine ,v.,C1,0,0,0,0,0,0,0,0,1,0
10083,confirmation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10084,confront ,v.,C1,0,0,0,0,0,0,0,0,1,0
10085,confrontation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10086,congratulate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10087,congregation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10088,congressional ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10089,conquer ,v.,C1,0,0,0,0,0,0,0,0,1,0
10090,conscience ,n.,C1,0,0,0,0,0,0,0,0,0,1
10091,consciousness ,n.,C1,0,0,0,0,0,0,0,0,0,1
10092,consecutive ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10093,consensus ,n.,C1,0,0,0,0,0,0,0,0,0,1
10094,consent ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10095,consent ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10096,conserve ,v.,C1,0,0,0,0,0,0,0,0,1,0
10097,consistency ,n.,C1,0,0,0,0,0,0,0,0,0,1
10098,consolidate ,v.,C1,0,0,0,0,0,0,0,0,1,0
10099,constituency ,n.,C1,0,0,0,0,0,0,0,0,0,1
10100,constitute ,v.,C1,0,0,0,0,0,0,0,0,1,0
10101,constitution ,n.,C1,0,0,0,0,0,0,0,0,0,1
